cid,AreaAc,AreaSqM,AreaSqFt,B1_mean,B2_mean,B3_mean,B4_mean,NDVI,GNDVI
B101-17,0.00005648867,0.22860154724,2.46063673306,38490.81666670000,20857.58333330000,46667.15000000000,36711.13333330000,0.27538480824,-0.02366538811
B101-28,0.00009323265,0.37729916399,4.06119815669,30613.76237620000,14626.93069310000,38906.58415840000,32372.76237620000,0.37757335260,0.02792660822
B101-35,0.00004933731,0.19966102126,2.14912475002,36540.45098040000,17964.68627450000,45267.90196080000,35947.07843140000,0.33355228223,-0.00818585699
B103-20,0.00011977511,0.48471268779,5.21738307959,25565.20454550000,7860.30303030000,48910.86363640000,43053.04545450000,0.69122820383,0.25485699372
B103-30,0.00007151096,0.28939459327,3.11500501695,29913.38750000000,12600.43750000000,45927.53750000000,38752.70000000000,0.50926318767,0.12872893770
B103-36,0.00008536852,0.34547414428,3.71863786568,29987.10526320000,10461.37894740000,48559.93684210000,41113.60000000000,0.59432348162,0.15648923166
B104-15,0.00027856798,1.12732462311,12.13437271600,24468.37942120000,8479.00964630000,42527.08681670000,39509.90032150000,0.64662628712,0.23510355328
B104-26,0.00028741158,1.16311338776,12.51959823180,22584.88817890000,7741.57827476000,40458.33865810000,38405.50798720000,0.66448246675,0.25939526225
B104-31,0.00028704239,1.16161935213,12.50351663040,24391.73633440000,8554.76205788000,42952.54019290000,40008.24758840000,0.64768402452,0.24249247131
B111-10,0.00011918125,0.48230942002,5.19151462413,25451.78294570000,7016.10077519000,49376.30232560000,42229.57364340000,0.71505717576,0.24789382990
B111-14,0.00015164397,0.61368138149,6.60558499237,22691.78527610000,6082.95092025000,50438.54601230000,45628.12269940000,0.76473314149,0.33571967678
B111-46,0.00013876881,0.56157745508,6.04474523942,27807.90789470000,8787.80921053000,48280.92763160000,40275.56578950000,0.64177722342,0.18312311667
B117-12,0.00009986676,0.40414643213,4.35017858993,27816.20535710000,8615.67857143000,49022.52678570000,44537.10714290000,0.67581459915,0.23110070857
B117-48,0.00006403070,0.25912303515,2.78916598054,28630.31884060000,10535.52173910000,45357.27536230000,38936.86956520000,0.57408479916,0.15253780670
B117-9,0.00009442484,0.38212376112,4.11312948021,26357.73267330000,10135.85148510000,39973.89108910000,36236.84158420000,0.56285258353,0.15782692075
B118-11,0.00008965499,0.36282087014,3.90535572202,28062.58163270000,9425.11224490000,48970.38775510000,44654.72448980000,0.65143710433,0.22817323333
B118-13,0.00025707715,1.04035432003,11.19823590930,22356.80727270000,7161.31636364000,40691.38545450000,39888.66545450000,0.69558685947,0.28165676014
B118-47,0.00007413875,0.30002887674,3.22947103371,28875.26829270000,9522.65853659000,47896.32926830000,43825.12195120000,0.64299701133,0.20563649808
B203-38,0.00011249606,0.45525539675,4.90030870600,27338.27049180000,9707.27049180000,45063.71311480000,38704.52459020000,0.59897085099,0.17210437693
B203-40,0.00010757893,0.43535647006,4.68611929854,26557.61206900000,9392.71551724000,43451.81034480000,37278.34482760000,0.59749294540,0.16794191361
B203-43,0.00010288883,0.41637633662,4.48181965964,28290.42201830000,8714.89908257000,48126.93577980000,41707.78899080000,0.65432627987,0.19168156984
B207-39,0.00005250271,0.21247091813,2.28700878083,31077.16666670000,13206.98148150000,41557.53703700000,36584.27777780000,0.46950602664,0.08139215999
B207-60,0.00009840914,0.39824765191,4.28668490205,31576.10000000000,13510.20909090000,42432.72727270000,37871.69090909990,0.47412574892,0.09065214065
